"Geo Code","Geo Name","Line Number"
"2021A00053501005","South Glengarry",2
"2021A00053501007","Akwesasne (Part) 59",2633
"2021A00053501011","South Stormont",5264
"2021A00053501012","Cornwall",7895
"2021A00053501020","South Dundas",10526
"2021A00053501030","North Dundas",13157
"2021A00053501042","North Stormont",15788
"2021A00053501050","North Glengarry",18419
"2021A00053502001","East Hawkesbury",21050
"2021A00053502008","Hawkesbury",23681
"2021A00053502010","Champlain",26312
"2021A00053502023","Alfred and Plantagenet",28943
"2021A00053502025","The Nation / La Nation",31574
"2021A00053502036","Clarence-Rockland",34205
"2021A00053502044","Casselman",36836
"2021A00053502048","Russell",39467
"2021A00053506008","Ottawa",42098
"2021A00053507004","Edwardsburgh/Cardinal",44729
"2021A00053507006","Augusta",47360
"2021A00053507008","Prescott",49991
"2021A00053507014","Elizabethtown-Kitley",52622
"2021A00053507015","Brockville",55253
"2021A00053507017","Front of Yonge",57884
"2021A00053507021","Leeds and the Thousand Islands",60515
"2021A00053507024","Gananoque",63146
"2021A00053507033","Westport",65777
"2021A00053507040","Rideau Lakes",68408
"2021A00053507042","Athens",71039
"2021A00053507052","Merrickville-Wolford",73670
"2021A00053507065","North Grenville",76301
"2021A00053509001","Montague",78932
"2021A00053509004","Smiths Falls",81563
"2021A00053509010","Drummond/North Elmsley",84194
"2021A00053509015","Tay Valley",86825
"2021A00053509021","Perth",89456
"2021A00053509024","Beckwith",92087
"2021A00053509028","Carleton Place",94718
"2021A00053509030","Mississippi Mills",97349
"2021A00053509039","Lanark Highlands",99980
"2021A00053510005","Frontenac Islands",102611
"2021A00053510010","Kingston",105242
"2021A00053510020","South Frontenac",107873
"2021A00053510035","Central Frontenac",110504
"2021A00053510045","North Frontenac",113135
"2021A00053511005","Loyalist",115766
"2021A00053511015","Greater Napanee",118397
"2021A00053511030","Stone Mills",121028
"2021A00053511035","Addington Highlands",123659
"2021A00053512001","Tyendinaga",126290
"2021A00053512002","Deseronto",128921
"2021A00053512004","Tyendinaga Mohawk Territory",131552
"2021A00053512005","Belleville",134183
"2021A00053512015","Quinte West",136814
"2021A00053512020","Stirling-Rawdon",139445
"2021A00053512026","Centre Hastings",142076
"2021A00053512030","Tweed",144707
"2021A00053512036","Madoc",147338
"2021A00053512046","Marmora and Lake",149969
"2021A00053512048","Tudor and Cashel",152600
"2021A00053512051","Limerick",155231
"2021A00053512054","Wollaston",157862
"2021A00053512058","Faraday",160493
"2021A00053512061","Bancroft",163124
"2021A00053512065","Carlow/Mayo",165755
"2021A00053512076","Hastings Highlands",168386
"2021A00053513020","Prince Edward County",171017
"2021A00053514004","Brighton",173648
"2021A00053514014","Cramahe",176279
"2021A00053514019","Hamilton",178910
"2021A00053514020","Port Hope",181541
"2021A00053514021","Cobourg",184172
"2021A00053514024","Alnwick/Haldimand",186803
"2021A00053514027","Alderville First Nation",189434
"2021A00053514045","Trent Hills",192065
"2021A00053515003","Asphodel-Norwood",194696
"2021A00053515005","Otonabee-South Monaghan",197327
"2021A00053515008","Hiawatha First Nation",199958
"2021A00053515013","Cavan Monaghan",202589
"2021A00053515014","Peterborough",205220
"2021A00053515015","Selwyn",207851
"2021A00053515019","Curve Lake First Nation 35",210482
"2021A00053515023","Douro-Dummer",213113
"2021A00053515030","Havelock-Belmont-Methuen",215744
"2021A00053515037","North Kawartha",218375
"2021A00053515044","Trent Lakes",221006
"2021A00053516010","Kawartha Lakes",223637
"2021A00053518001","Pickering",226268
"2021A00053518005","Ajax",228899
"2021A00053518009","Whitby",231530
"2021A00053518013","Oshawa",234161
"2021A00053518017","Clarington",236792
"2021A00053518020","Scugog",239423
"2021A00053518022","Mississaugas of Scugog Island",242054
"2021A00053518029","Uxbridge",244685
"2021A00053518039","Brock",247316
"2021A00053519028","Vaughan",249947
"2021A00053519036","Markham",252578
"2021A00053519038","Richmond Hill",255209
"2021A00053519044","Whitchurch-Stouffville",257840
"2021A00053519046","Aurora",260471
"2021A00053519048","Newmarket",263102
"2021A00053519049","King",265733
"2021A00053519054","East Gwillimbury",268364
"2021A00053519070","Georgina",270995
"2021A00053519076","Chippewas of Georgina Island First Nation",273626
"2021A00053520005","Toronto",276257
"2021A00053521005","Mississauga",278888
"2021A00053521010","Brampton",281519
"2021A00053521024","Caledon",284150
"2021A00053522001","East Garafraxa",286781
"2021A00053522008","Amaranth",289412
"2021A00053522010","Grand Valley",292043
"2021A00053522012","Mono",294674
"2021A00053522014","Orangeville",297305
"2021A00053522016","Mulmur",299936
"2021A00053522019","Melancthon",302567
"2021A00053522021","Shelburne",305198
"2021A00053523001","Puslinch",307829
"2021A00053523008","Guelph",310460
"2021A00053523009","Guelph/Eramosa",313091
"2021A00053523017","Erin",315722
"2021A00053523025","Centre Wellington",318353
"2021A00053523033","Mapleton",320984
"2021A00053523043","Minto",323615
"2021A00053523050","Wellington North",326246
"2021A00053524001","Oakville",328877
"2021A00053524002","Burlington",331508
"2021A00053524009","Milton",334139
"2021A00053524015","Halton Hills",336770
"2021A00053525005","Hamilton",339401
"2021A00053526003","Fort Erie",342032
"2021A00053526011","Port Colborne",344663
"2021A00053526014","Wainfleet",347294
"2021A00053526021","West Lincoln",349925
"2021A00053526028","Pelham",352556
"2021A00053526032","Welland",355187
"2021A00053526037","Thorold",357818
"2021A00053526043","Niagara Falls",360449
"2021A00053526047","Niagara-on-the-Lake",363080
"2021A00053526053","St. Catharines",365711
"2021A00053526057","Lincoln",368342
"2021A00053526065","Grimsby",370973
"2021A00053528018","Haldimand County",373604
"2021A00053528035","New Credit (Part) 40A",376235
"2021A00053528037","Six Nations (Part) 40",378866
"2021A00053528052","Norfolk County",381497
"2021A00053529005","Brant",384128
"2021A00053529006","Brantford",386759
"2021A00053529020","Six Nations (Part) 40",389390
"2021A00053529021","New Credit (Part) 40A",392021
"2021A00053530004","North Dumfries",394652
"2021A00053530010","Cambridge",397283
"2021A00053530013","Kitchener",399914
"2021A00053530016","Waterloo",402545
"2021A00053530020","Wilmot",405176
"2021A00053530027","Wellesley",407807
"2021A00053530035","Woolwich",410438
"2021A00053531011","Stratford",413069
"2021A00053531013","Perth South",415700
"2021A00053531016","St. Marys",418331
"2021A00053531025","West Perth",420962
"2021A00053531030","Perth East",423593
"2021A00053531040","North Perth",426224
"2021A00053532002","Norwich",428855
